Trade#,Symbol,Direction,Entry Date,Entry Price,Stop Loss Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,Exit Date,Exit Price,TP1 Hit?,TP2 Hit?,TP3 Hit?,TP4 Hit?,TP5 Hit?,SL Hit?,Final Exit Reason,R Multiple,Profit/Loss USD,Confluence Score,Holding Time (hours),Lot Size,Risk Pips,ADX Value,Validation Notes
25,USD_CAD,BEARISH,2023-01-04 22:00:00+00:00,1.3571,1.3731634582082322,1.3474619250750606,1.3378238501501214,1.3249730835835356,1.3169413544794195,1.3008778962711873,2023-01-09 22:00:00+00:00,1.3408227342992738,Yes,Yes,No,No,No,No,TP2+Trail,1.01,1114.64,14,120.0,0.93,160.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
26,SPX500_USD,BULLISH,2023-01-05 22:00:00+00:00,3849.3017999999997,3763.371835794397,3900.8597785233615,3952.4177570467227,4021.161728411205,4064.126710514006,4150.056674719609,2023-01-11 22:00:00+00:00,3939.637562057939,Yes,Yes,No,No,No,No,TP2+Trail,1.05,1156.4,15,144.0,12.8,859.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
27,AUD_USD,BULLISH,2023-01-05 22:00:00+00:00,0.6731889,0.6633831045239365,0.6790723772856381,0.6849558545712762,0.692800490952127,0.6977033886901588,0.7075091841662223,2023-01-09 22:00:00+00:00,0.6879810858295606,Yes,Yes,Yes,No,No,No,TP3+Trail,1.51,1659.37,15,96.0,1.12,98.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
28,EUR_NZD,BEARISH,2023-01-05 22:00:00+00:00,1.67724,1.7204211606740551,1.651331303595567,1.625422607191134,1.59087767865189,1.5692870983148623,1.5261059376408073,2023-02-26 22:00:00+00:00,1.7211711606740552,No,No,No,No,No,Yes,SL,-1.02,-1119.11,15,1248.0,0.25,431.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
29,USD_CAD,BULLISH,2023-01-05 22:00:00+00:00,1.36319808,1.3441578233770723,1.3746222339737568,1.3860463879475133,1.4012785932458556,1.4107987215573194,1.4298389781802472,2023-01-08 22:00:00+00:00,1.3434078233770723,No,No,No,No,No,Yes,SL,-1.04,-1143.33,15,72.0,0.79,190.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
30,USD_CAD,BEARISH,2023-01-05 22:00:00+00:00,1.36303376,1.3748364550087555,1.3559521429947468,1.3488705259894933,1.339428369982489,1.333527022478111,1.3217243274693558,2023-01-09 22:00:00+00:00,1.3450764884111226,Yes,Yes,Yes,No,No,No,TP3+Trail,1.52,1673.6,14,96.0,1.27,118.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
31,AUD_JPY,BEARISH,2023-01-08 22:00:00+00:00,91.07997800000001,93.58657407490371,89.57602035505779,88.07206271011557,86.06678585019262,84.81348781274076,82.30689173783708,2023-03-13 21:00:00+00:00,88.4979861606021,Yes,Yes,No,No,No,No,TP2+Trail,1.03,1133.09,15,1535.0,0.01,250.7,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
32,SPX500_USD,BEARISH,2023-01-08 22:00:00+00:00,3940.1675999999998,4057.5302210460036,3869.7500273723977,3799.332454744795,3705.442357907992,3646.76104738499,3529.3984263389866,2023-01-25 22:00:00+00:00,4058.2802210460036,No,No,No,No,No,Yes,SL,-1.01,-1107.03,15,408.0,9.37,1173.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
33,XAG_USD,BEARISH,2023-01-08 22:00:00+00:00,24.049198,24.900754650656527,23.538264009606085,23.02733001921217,22.346084698686948,21.920306373358684,21.068749722702158,2023-01-23 22:00:00+00:00,23.154047950304083,Yes,Yes,No,No,No,No,TP2+Trail,1.05,1156.31,14,360.0,0.26,851.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
34,EUR_NZD,BEARISH,2023-01-08 22:00:00+00:00,1.66802728,1.714961242566224,1.6398669024602657,1.6117065249205313,1.574159354867552,1.55069237358444,1.5037584110182163,2023-02-16 22:00:00+00:00,1.715711242566224,No,No,No,No,No,Yes,SL,-1.02,-1117.58,15,936.0,0.23,469.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
35,EUR_CAD,BULLISH,2023-01-09 22:00:00+00:00,1.44192,1.4333908254656738,1.447037504720596,1.4521550094411917,1.4589783490686528,1.463242936335816,1.4717721108701423,2023-01-15 22:00:00+00:00,1.450210925006386,Yes,Yes,No,No,No,No,TP2+Trail,0.97,1069.27,15,144.0,1.29,85.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
36,EUR_CAD,BULLISH,2023-01-09 22:00:00+00:00,1.44135,1.4193099613920188,1.4545740231647886,1.4677980463295772,1.485430077215962,1.4964500965199528,1.5184901351279336,2023-03-13 21:00:00+00:00,1.4639624409244598,Yes,Yes,No,No,No,No,TP2+Trail,1.03,1128.57,15,1511.0,0.5,220.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
37,USD_CHF,BEARISH,2023-01-09 22:00:00+00:00,0.92294,0.9446878309634246,0.9098913014219452,0.8968426028438905,0.8794443380731508,0.8685704225914386,0.8468225916280139,2023-04-16 21:00:00+00:00,0.9006372991787699,Yes,Yes,No,No,No,No,TP2+Trail,1.03,1128.07,15,2327.0,0.47,217.5,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
38,EUR_CHF,BULLISH,2023-01-10 22:00:00+00:00,0.99104028,0.9814377888035665,0.9968017747178601,1.0025632694357203,1.010245262392867,1.0150465079910838,1.0246489991875174,2023-01-15 22:00:00+00:00,1.0004689206682196,Yes,Yes,No,No,No,No,TP2+Trail,0.98,1080.08,15,120.0,1.15,96.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
39,SPX500_USD,BULLISH,2023-01-10 22:00:00+00:00,3966.152,3768.93396340652,4084.482821956088,4202.813643912176,4360.58807318696,4459.1970914837,4656.41512807718,2023-05-18 21:00:00+00:00,4174.453118789089,Yes,Yes,No,No,No,No,TP2+Trail,1.06,1161.82,15,3071.0,5.58,1972.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
40,NZD_CHF,BULLISH,2023-01-10 22:00:00+00:00,0.58781532,0.5796367985240738,0.5927224328855558,0.5976295457711115,0.6041723629518525,0.6082616236898156,0.6164401451657419,2023-01-23 22:00:00+00:00,0.5957345527644818,Yes,Yes,No,No,No,No,TP2+Trail,0.97,1065.13,15,312.0,1.34,81.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
41,EUR_CAD,BULLISH,2023-01-10 22:00:00+00:00,1.4430606400000001,1.4301037560602148,1.4508347703638713,1.4586089007277425,1.4689744078795708,1.4754528498494635,1.4884097337892488,2023-01-19 22:00:00+00:00,1.4560449369761725,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1102.33,15,216.0,0.85,129.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
42,USD_CHF,BEARISH,2023-01-10 22:00:00+00:00,0.92540284,0.9447844144660371,0.9137738953203777,0.9021449506407554,0.8866396910679256,0.876948903834907,0.8575673293688699,2023-04-05 21:00:00+00:00,0.9056083710660006,Yes,Yes,No,No,No,No,TP2+Trail,1.02,1123.43,15,2039.0,0.53,193.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
43,CHF_JPY,BEARISH,2023-01-10 22:00:00+00:00,142.274,144.634523005247,140.8576861968518,139.4413723937036,137.55295398950602,136.37269248688253,134.01216948163554,2023-01-15 22:00:00+00:00,138.6075710366835,Yes,Yes,Yes,No,No,No,TP3+Trail,1.55,1708.55,15,120.0,0.01,236.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
44,NZD_JPY,BULLISH,2023-01-11 22:00:00+00:00,82.68433399999999,81.2452628119101,83.54777671285393,84.41121942570787,85.56247637617979,86.28201197022474,87.72108315831463,2023-01-12 22:00:00+00:00,81.17026281191009,No,No,No,No,No,Yes,SL,-1.05,-1157.33,15,24.0,0.01,143.9,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
45,GBP_JPY,BULLISH,2023-01-11 22:00:00+00:00,158.262788,155.72449745993072,159.78576232404157,161.30873664808314,163.33936908013857,164.6085143501732,167.1468048902425,2023-01-12 22:00:00+00:00,155.64949745993073,No,No,No,No,No,Yes,SL,-1.03,-1132.5,15,24.0,0.01,253.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
46,CAD_JPY,BULLISH,2023-01-11 22:00:00+00:00,97.621128,94.74143483242278,99.34894390054633,101.07675980109266,103.38051433515443,104.82036091894304,107.70005408652025,2023-01-18 22:00:00+00:00,94.66643483242278,No,No,No,No,No,Yes,SL,-1.03,-1128.65,15,168.0,0.01,288.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
47,XAG_USD,BEARISH,2023-01-11 22:00:00+00:00,24.049198,24.88193221300743,23.54955747219554,23.049916944391082,22.38372957398514,21.967362467481422,21.134628254473995,2023-01-23 22:00:00+00:00,23.17399973421212,Yes,Yes,No,No,No,No,TP2+Trail,1.05,1156.09,14,288.0,0.26,832.7,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
48,USD_JPY,BEARISH,2023-01-11 22:00:00+00:00,132.094,133.4356932744707,131.28898403531755,130.48396807063514,129.41061345105857,128.73976681382322,127.3980735393525,2023-01-15 22:00:00+00:00,129.34473565723914,Yes,Yes,Yes,Yes,No,No,TP4+Trail,2.05,2254.01,15,96.0,1.08,134.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
49,NZD_CHF,BULLISH,2023-01-11 22:00:00+00:00,0.59413382,0.579064895770485,0.6031751745377091,0.612216529075418,0.62427166845903,0.6318061305737875,0.6468750548033025,2023-02-14 22:00:00+00:00,0.578314895770485,No,No,No,No,No,Yes,SL,-1.05,-1154.75,15,816.0,0.73,150.7,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
50,CAD_CHF,BEARISH,2023-01-11 22:00:00+00:00,0.69714044,0.7075832550270286,0.6908747509837828,0.6846090619675657,0.6762548099459428,0.6710334024324285,0.6605905874053999,2023-01-19 22:00:00+00:00,0.6868210560713497,Yes,Yes,No,No,No,No,TP2+Trail,0.99,1087.0,15,192.0,1.05,104.4,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
51,USD_CHF,BEARISH,2023-01-11 22:00:00+00:00,0.933511,0.9457582339892253,0.9261626596064648,0.9188143192129296,0.9090165320215493,0.9028929150269367,0.8906456810377112,2023-01-17 22:00:00+00:00,0.9212789319714211,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1098.64,15,144.0,0.84,122.5,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
52,EUR_JPY,BULLISH,2023-01-11 22:00:00+00:00,140.312,137.33351702629173,142.099089784225,143.88617956844996,146.26896594741658,147.75820743427073,150.73669040797898,2023-02-21 22:00:00+00:00,143.3941919521308,Yes,Yes,No,No,No,No,TP2+Trail,1.03,1138.3,15,984.0,0.01,297.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
53,NAS100_USD,BEARISH,2023-01-11 22:00:00+00:00,11472.889799999999,12089.784985938459,11102.752688436924,10732.615576873848,10239.09942812308,9930.65183515385,9313.75664921539,2023-01-26 22:00:00+00:00,12090.534985938459,No,No,No,No,No,Yes,SL,-1.0,-1101.34,15,360.0,1.78,6169.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
54,AUD_JPY,BULLISH,2023-01-12 22:00:00+00:00,89.284044,87.47781616106158,90.36778070336304,91.45151740672608,92.89649967787682,93.79961359734602,95.60584143628444,2023-01-18 22:00:00+00:00,91.12364550927471,Yes,Yes,No,No,No,No,TP2+Trail,1.02,1120.32,15,144.0,0.01,180.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
55,NZD_JPY,BULLISH,2023-01-12 22:00:00+00:00,82.673,81.27414464204317,83.5123132147741,84.3516264295482,85.47071071591367,86.17013839489209,87.56899375284891,2023-01-18 22:00:00+00:00,84.08078667943424,Yes,Yes,No,No,No,No,TP2+Trail,1.01,1107.02,15,144.0,0.01,139.9,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
56,GBP_JPY,BULLISH,2023-01-12 22:00:00+00:00,157.924,155.76362879718215,159.22022272169073,160.51644544338143,162.24474240563572,163.32492800704466,165.4852992098625,2023-01-18 22:00:00+00:00,160.13899347498693,Yes,Yes,No,No,No,No,TP2+Trail,1.03,1127.81,15,144.0,0.01,216.0,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
57,EUR_JPY,BEARISH,2023-01-12 22:00:00+00:00,139.59322,142.05271404833098,138.1175235710014,136.64182714200282,134.67423190333804,133.44448487917253,130.98499083084158,2023-01-22 22:00:00+00:00,141.73419500059802,Yes,No,No,No,No,No,TP1+Trail,-0.87,-957.54,14,240.0,0.01,245.9,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
